AsPerContract
Broadcast
ConditionalDownload
ContentInfluencedStream
Display
Download
DubForAdvertisement
DubForLivePerformance	
DubForMovies
DubForMusicOnHold
DubForPublicPerformance
DubForRadio
DubForTV
ExtractForInternet
KioskDownload
Narrowcast
NonInteractiveStream
OnDemandStream
PerformAsMusicOnHold
PerformInLivePerformance
PerformInPublic
PermanentDownload	
Playback
PlayInPublic
Podcast
Print
PrivateCopy
ProgrammedContentStream	
PurchaseAsPhysicalProduct
Rent
Simulcast
Stream
TetheredDownload
TimeInfluencedStream
Unknown
UseAsAlertTone
UseAsDevice
UseAsKaraoke
UseAsRingbackTone
UseAsRingbackTune	
UseAsRingtone
UseAsRingtune
UseAsScreensaver
UseAsVoiceMail	
UseAsWallpaper	
UseForIdentification
UseInMobilePhoneMessaging
UseInPhoneListening
UserDefined
UserMakeAvailableLabelProvided
UserMakeAvailableUserProvided
Webcast
